yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:50+0530 0.072ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.684ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.077ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.176ms; [no ensemble]::delete_data: dt_3672OJ4HACGKO4THM6QDX4JM, deleted = yes
2021-04-27T16:03:50+0530 0.744ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_WALQU3LWBVZ3XGTE4NEPIH2C
2021-04-27T16:03:50+0530 6.586ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 768x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 25.413ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 768x1 targets, 768x1 givens
2021-04-27T16:03:50+0530 0.295ms; [no ensemble]::delete_data: dt_WALQU3LWBVZ3XGTE4NEPIH2C, deleted = yes
2021-04-27T16:03:50+0530 0.860ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_MDKBZN63OZLBZLRNVLOC2B3J
2021-04-27T16:03:50+0530 1.692ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.068ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.282ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.070ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.170ms; [no ensemble]::delete_data: dt_MDKBZN63OZLBZLRNVLOC2B3J, deleted = yes
2021-04-27T16:03:50+0530 0.727ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_5MVWTT6WOCLPJGAXBNVAFWHI
2021-04-27T16:03:50+0530 7.222ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 752x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 30.504ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 752x1 targets, 752x1 givens
2021-04-27T16:03:50+0530 0.421ms; [no ensemble]::delete_data: dt_5MVWTT6WOCLPJGAXBNVAFWHI, deleted = yes
2021-04-27T16:03:50+0530 0.808ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_VMJG6B5LAJERFERADDLSAYAN
2021-04-27T16:03:50+0530 1.336ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.057ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.018ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.088ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.072ms; [no ensemble]::delete_data: dt_VMJG6B5LAJERFERADDLSAYAN, deleted = yes
2021-04-27T16:03:50+0530 0.764ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_DQNOBXXO22SCWUWHGLPFYV4Z
2021-04-27T16:03:50+0530 4.952ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 576x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 21.401ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 576x1 targets, 576x1 givens
2021-04-27T16:03:50+0530 0.277ms; [no ensemble]::delete_data: dt_DQNOBXXO22SCWUWHGLPFYV4Z, deleted = yes
2021-04-27T16:03:50+0530 0.733ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_TWW5FNSTMTHFBPINH334FU5G
2021-04-27T16:03:50+0530 1.854ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.081ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.771ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.078ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.064ms; [no ensemble]::delete_data: dt_TWW5FNSTMTHFBPINH334FU5G, deleted = yes
2021-04-27T16:03:50+0530 0.760ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_NKIB4LKXRTCTJXVRH4YLB6S2
2021-04-27T16:03:50+0530 2.815ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 256x1 targets, 1x0 givens
